df_index,final_price,list_price,bathrooms,parking,lat,long,mean_district_income,sqft,bedrooms_ag,total_bedrooms,is_house
2960,903728,899900,2,4,43.746337,-79.31488929999998,42516,1300.0,4,4,1
2962,952500,799900,2,0,43.67200589999999,-79.4422213,39740,1761.820652173913,3,3,1
2963,1850000,1925000,4,1,43.65662,-79.4913823,76629,2310.1479046836484,3,4,1
2965,999999,999999,2,4,43.75658749999999,-79.45476479999998,45936,2310.1479046836484,3,5,1
2966,1450000,1299999,5,4,43.7240675,-79.2419872,44718,4250.0,5,8,1
2967,828800,849000,2,1,43.70895540000001,-79.39609940000003,57039,850.0,2,2,0
2968,955000,799000,2,1,43.6842261,-79.3133411,55199,1761.820652173913,3,4,1
2969,902000,799000,2,1,43.6925424,-79.3089025,47710,2310.1479046836484,2,4,1
2970,2450000,2550000,3,5,43.6890414,-79.4228495,65274,2310.1479046836484,3,4,1
2971,830000,729000,2,1,43.6929334,-79.31412999999998,47710,2310.1479046836484,1,2,1
2972,470000,449700,2,1,43.778949,-79.2813187,31825,750.0,2,2,0
2974,740000,759999,3,4,43.704906,-79.26082960000002,54360,2250.0,4,4,1
2975,700000,624900,2,1,43.6419033,-79.41346829999998,70623,750.0,2,2,0
2976,548000,549000,1,1,43.7640292,-79.40704170000002,45326,550.0,1,1,0
2977,1107000,999900,3,1,43.66411160000001,-79.3293671,53803,1761.820652173913,3,3,1
2978,2700000,2895000,4,2,43.7191594,-79.3637657,125564,2310.1479046836484,4,5,1
2979,600000,599900,1,1,43.6399209,-79.3933551,70600,650.0,1,2,0
2980,1098000,1098000,3,1,43.65734129999999,-79.4408131,40588,1300.0,3,4,1
2981,1639000,1699000,5,4,43.73767960000001,-79.4500616,51181,2310.1479046836484,4,5,1
2982,1125000,899000,2,1,43.6844153,-79.3379605,51846,1761.820652173913,3,3,1
2983,852500,859000,2,2,43.6846956,-79.34014189999998,51846,1761.820652173913,3,3,1
2984,479000,459900,1,1,43.6826838,-79.51108570000002,101551,650.0,1,2,0
2985,600000,560000,1,1,43.7655809,-79.4125865,72371,750.0,2,2,0
2987,610000,639000,1,1,43.64072609999999,-79.3955671,70600,650.0,1,2,0
2990,2093000,2099000,7,4,43.6509182,-79.55169129999999,52787,4250.0,5,6,1
2991,630000,668000,2,1,43.7660565,-79.39179890000003,45326,1100.0,2,2,0
2992,975888,975000,2,1,43.6472259,-79.39110029999998,70600,850.0,2,2,0
2994,490000,488800,1,1,43.6345965,-79.54106759999998,52787,650.0,1,2,0
2997,931500,879000,2,3,43.6919608,-79.54133050000002,36674,1300.0,3,6,1
2998,675000,699000,2,1,43.765811,-79.3837757,52035,1100.0,2,2,0
2999,2270000,2499900,5,4,43.75822520000001,-79.42739250000002,72371,4250.0,4,4,1
3000,880000,849900,4,1,43.7649268,-79.2898455,31692,2250.0,3,4,1
3001,980000,988880,2,1,43.6468092,-79.39018209999998,70600,1100.0,2,2,0
3002,920000,899000,2,2,43.80369620000001,-79.38423759999998,47246,1761.820652173913,3,5,1
3003,815000,799888,2,1,43.6360574,-79.470781,71204,950.0,2,2,0
3005,722000,729000,2,2,43.7016635,-79.2526255,54360,1300.0,2,3,1
3006,635000,628000,1,1,43.637225,-79.4036996,70623,650.0,1,2,0
3007,395000,395000,1,1,43.78017759999999,-79.2501808,30878,650.0,1,2,0
3008,525000,489000,1,0,43.6413078,-79.4000933,70600,550.0,1,1,0
3011,647000,669000,1,1,43.6706157,-79.44841329999998,39740,750.0,2,2,0
3013,1455000,1199900,5,1,43.6635451,-79.36563340000002,63012,2374.0,3,3,1
3014,530000,548000,1,0,43.6403804,-79.3973372,70600,650.0,1,2,0
3016,590000,599999,1,0,43.6431876,-79.4224938,45737,550.0,1,1,0
3017,698000,699900,2,1,43.76419320000001,-79.4127583,72371,1300.0,2,2,0
3018,980000,899900,3,2,43.801646100000006,-79.28057129999998,30414,2310.1479046836484,5,5,1
3019,1361700,1199900,2,3,43.6365024,-79.51589589999998,64140,2310.1479046836484,3,4,1
3021,745000,754900,3,1,43.6754715,-79.4693558,49709,1500.0,2,3,1
3022,1338000,1399000,4,2,43.79851160000001,-79.37801329999998,47246,2310.1479046836484,4,4,1
3023,328500,306000,1,1,43.8045151,-79.227871,29573,750.0,2,2,1
3030,919774,939000,2,2,43.7703447,-79.23830869999998,30878,2250.0,4,4,1
3031,505000,518000,1,1,43.769571,-79.3686431,52035,750.0,1,2,0
3035,449000,449000,1,1,43.7697205,-79.36692070000002,52035,550.0,1,1,0
3039,1026697,1049000,3,1,43.6847313,-79.3417041,51846,1761.820652173913,4,5,1
3040,1325000,1359800,5,4,43.6570971,-79.36909949999998,58915,2750.0,3,3,1
3042,840000,859000,3,1,43.65105459999999,-79.3590608,70600,1100.0,2,2,0
3044,1310000,1339000,2,1,43.64895300000001,-79.3857683,56526,1100.0,1,2,0
3050,850000,859000,2,2,43.6895251,-79.3551761,44557,2310.1479046836484,2,3,1
3054,562500,569900,2,1,43.64074420000001,-79.5596541,52787,850.0,2,3,0
3057,448000,399999,2,1,43.8229012,-79.27507059999998,28085,1100.0,2,3,0
3059,700000,759999,2,1,43.6843424,-79.33381240000001,55225,1761.820652173913,3,4,1
3063,2350000,2420000,4,2,43.6597031,-79.4039817,50757,2310.1479046836484,4,4,1
3064,765000,779900,2,1,43.6702748,-79.44958419999998,39740,1100.0,2,3,1
3065,583000,583000,1,1,43.644684100000006,-79.3908955,70600,800.0,1,2,0
3066,525000,499900,1,1,43.6408829,-79.4153966,70623,550.0,1,1,1
3067,2280100,2388000,7,4,43.7740987,-79.37375920000002,52035,4250.0,5,6,1
3068,399000,399000,1,1,43.7926645,-79.2372189,29573,750.0,1,2,0
3069,1305000,1149000,2,2,43.6906825,-79.4328665,65274,2310.1479046836484,3,4,1
3070,685000,699000,2,2,43.7565016,-79.56438519999998,30731,1750.0,3,4,1
3071,435000,438800,1,1,43.77340299999999,-79.3446365,36359,550.0,1,2,0
3072,538000,534900,1,1,43.6227486,-79.481943,54438,650.0,1,2,0
3073,370000,399500,2,1,43.6980672,-79.3980729,89330,1100.0,1,1,0
3074,430000,429900,1,1,43.77742019999999,-79.2807902,31825,750.0,1,2,0
3075,615000,639900,2,2,43.80544709999999,-79.20389770000001,29573,1856.3063063063064,3,3,1
3076,850000,849900,4,2,43.8077832,-79.1666656,39556,1586.3636363636363,4,6,1
3077,880000,899000,4,4,43.80341749999999,-79.3774912,47246,1761.820652173913,4,5,1
3078,1180000,1219000,2,4,43.7848224,-79.3690171,52035,2310.1479046836484,3,5,1
3079,670000,699900,1,1,43.6930892,-79.32492510000002,51846,2310.1479046836484,2,2,1
3080,1056500,1038000,2,1,43.6519631,-79.37410329999999,53583,950.0,2,2,0
3081,830000,799900,2,1,43.6519631,-79.37410329999999,53583,1100.0,1,2,0
3082,430000,399000,1,1,43.7728761,-79.2539582,33256,650.0,1,2,0
3083,1230000,1299900,2,2,43.64687869999999,-79.39721259999997,70600,1300.0,2,2,0
3084,990000,995000,2,1,43.6694691,-79.40092290000003,112766,1100.0,2,2,0
3085,820100,829000,3,3,43.76805870000001,-79.2255318,30878,2310.1479046836484,3,6,1
3086,686000,689900,3,1,43.716349,-79.28078570000002,36232,1300.0,2,3,1
3087,427000,484800,2,1,43.7169396,-79.26088419999998,30974,750.0,2,2,0
3088,691100,699900,2,3,43.708374,-79.25936469999998,54360,900.0,3,6,1
3089,978000,849900,2,1,43.68875070000001,-79.3286495,51846,2310.1479046836484,3,3,1
3090,2023284,2075000,4,3,43.7277055,-79.4113203,111730,2250.0,3,3,1
3091,329900,329900,1,1,43.6968278,-79.29341240000002,30430,750.0,1,1,0
3092,907000,929800,3,2,43.8010191,-79.2753077,30414,2310.1479046836484,5,6,1
3093,791000,799000,3,6,43.7567598,-79.2144277,30878,2310.1479046836484,3,5,1
3094,512000,529000,1,0,43.6657528,-79.3855792,56526,550.0,0,0,0
3095,635000,649900,1,0,43.64643359999999,-79.39780640000002,70600,550.0,1,2,0
3097,861000,874900,2,4,43.7510933,-79.2302903,30878,2310.1479046836484,4,5,1
3098,640000,650000,1,1,43.642653,-79.39348679999998,70600,650.0,1,2,0
3099,1080000,978000,2,4,43.6262598,-79.509733,64140,2310.1479046836484,3,4,1
3100,572000,575000,1,1,43.76798170000001,-79.38799829999998,52035,750.0,1,2,0
3101,750000,800000,1,2,43.722503,-79.23311,44718,2310.1479046836484,3,3,1
3103,940000,999000,2,2,43.6226024,-79.52435919999998,52787,2310.1479046836484,3,3,1
3104,3895000,4195000,7,4,43.74069420000001,-79.413308,123077,4250.0,5,6,1
